"802422","1","1","","","","","","","","","","","0";
"802422","3","1","","","","","","","","","","","0";
"802422","7","2","8","","","","","","","","","","0";
"802422","9","1","","","","","","","","","","","0";
"802422","13","1","","","","","","","","","","","0";
"802422","15","1","","","","","","","","","","","0";
"802422","19","2","8","","","","","","","","","","0";
"802422","21","1","","","","","","","","","","","0";
"802422","29","2","8","","","","","","","","","","0";
"802422","37","1","","","","","","","","","","","0";
"802422","39","1","","","","","","","","","","","0";
"802422","41","1","","","","","","","","","","","0";
"802422","43","2","8","","","","","","","","","","0";
"802422","45","1","","","","","","","","","","","0";
"802422","57","1","","","","","","","","","","","0";
"802422","59","1","","","","","","","","","","","0";
"802422","5","1","","","","","","","","","","","0";
"802422","85","1","","","","","","","","","","","0";
"802422","83","1","","","","","","","","","","","0";
"802422","99","","","","","","","","","","","","0";
"802422","6","2","8","","","","","","","","","","0";
"802422","12","1","","","","","","","","","","","0";
"802422","14","1","","","","","","","","","","","0";
"802422","16","1","","","","","","","","","","","0";
"802422","18","1","","","","","","","","","","","0";
"802422","22","1","","","","","","","","","","","0";
"802422","24","2","8","","","","","","","","","","0";
"802422","26","1","","","","","","","","","","","0";
"802422","28","","","","","","","","","","","","0";
"802422","30","1","","","","","","","","","","","0";
"802422","38","1","","","","","","","","","","","0";
"802422","40","2","8","","","","","","","","","","0";
"802422","48","1","","","","","","","","","","","0";
"802422","60","1","","","","","","","","","","","0";
"802422","42","1","","","","","","","","","","","0";
"802422","34","1","","","","","","","","","","","0";
"802422","82","1","","","","","","","","","","","0";
"802422","80","1","","","","","","","","","","","0";
"802422","66","1","","","","","","","","","","","0";
"802422","44","1","","","","","","","","","","","0";
"802422","96","","","","","","","","","","","","0";
"802423","9","1","","","","","","","","","","","0";
"802423","11","1","","","","","","","","","","","0";
"802423","23","1","","","","","","","","","","","0";
"802423","29","1","","","","","","","","","","","0";
"802423","33","1","","","","","","","","","","","0";
"802423","37","1","","","","","","","","","","","0";
"802423","13","1","","","","","","","","","","","0";
"802423","4","1","","","","","","","","","","","0";
"802423","8","1","","","","","","","","","","","0";
"802423","10","1","","","","","","","","","","","0";
"802423","12","1","","","","","","","","","","","0";
"802423","40","1","","","","","","","","","","","0";
"802423","50","1","","","","","","","","","","","0";
"802423","14","1","","","","","","","","","","","0";
"802427","3","8","","","","","","","","","","","0";
"802427","5","1","","","","","","","","","","","0";
"802427","7","1","","","","","","","","","","","0";
"802427","11","1","","","","","","","","","","","0";
"802427","13","1","","","","","","","","","","","0";
"802427","19","2","","","","","","","","","","","0";
"802427","17","2","","","","","","","","","","","0";
"802427","21","1","","","","","","","","","","","0";
"802427","15","1","","","","","","","","","","","0";
"802427","27","1","","","","","","","","","","","0";
"802427","23","1","","","","","","","","","","","0";
"802427","31","2","8","","","","","","","","","","0";
"802427","29","2","8","","","","","","","","","","0";
"802427","9","1","","","","","","","","","","","0";
"802427","25","1","","","","","","","","","","","0";
"802427","33","1","","","","","","","","","","","0";
