"710443","2","1","8656","","1","","","","0","","0535","","","0";
"710443","2","2","8458","","1","","","","10","","0545","","","0";
"710443","2","3","1498","","1","","","","17","","0550","","","0";
"710443","2","4","8272","","1","","","","20","","0558","","","0";
"710443","2","5","1243","","1","","","","32","","0610","","","0";
"710443","2","6","988","","1","","","","36","","0620","","","0";
"710443","2","7","16563","","1","","","","43","","0625","","","0";
"710443","2","8","989","","1","","","","48","","0631","","","0";
"710443","2","9","16982","","1","","","","48","","0635","","","0";
"710443","2","10","1496","","1","","","","48","","0638","","","0";
"710443","2","11","1495","","1","","","","54","","0645","","","0";
"710443","2","12","1494","","1","","","","64","","0655","","","0";
"710443","2","13","1493","","","","","","69","","|","","","0";
"710443","2","14","1492","","1","","","","69","","0700","","","0";
"710443","2","15","15874","","","","","","69","","|","","","0";
"710443","2","16","16565","","1","","","","69","","0705","","","0";
"710443","2","17","8496","","1","","","","69","0710","0720","","","0";
"710443","2","18","8195","","1","","","","103","0750","","","","0";
"710443","3","18","8195","","18","","","","0","","1315","","","0";
"710443","3","17","8496","","1","","","","34","1350","1400","","","0";
"710443","3","16","16565","","1","","","","34","","1405","","","0";
"710443","3","15","15874","","1","","","","34","","1407","","","0";
"710443","3","14","1492","","","","","","34","","|","","","0";
"710443","3","13","1493","","1","","","","34","","1410","","","0";
"710443","3","12","1494","","1","","","","39","","1412","","","0";
"710443","3","11","1495","","1","","","","49","","1425","","","0";
"710443","3","10","1496","","1","","","","55","","1430","","","0";
"710443","3","9","16982","","1","","","","55","","1432","","","0";
"710443","3","8","989","","1","","","","55","","1435","","","0";
"710443","3","7","16563","","1","","","","60","","1440","","","0";
"710443","3","6","988","","1","","","","67","","1450","","","0";
"710443","3","5","1243","","1","","","","71","","1455","","","0";
"710443","3","4","8272","","1","","","","83","","1505","","","0";
"710443","3","3","1498","","1","","","","86","","1510","","","0";
"710443","3","2","8458","","1","","","","93","","1520","","","0";
"710443","3","1","8656","","1","","","","103","1530","","","","0";
"711406","51","1","8709","","1","","","","0","","0525","","","0";
"711406","51","2","15974","","","","","","0","","|","","","0";
"711406","51","3","15973","","1","","","","2","","0529","","","0";
"711406","51","4","16165","","1","","","","4","","0530","","","0";
"711406","51","5","15574","","1","","","","4","","0531","","","0";
"711406","51","6","15811","","1","","","","7","","0533","","","0";
"711406","51","7","20493","","","","","","","","<","","","0";
"711406","51","8","17923","","","","","","","","<","","","0";
"711406","51","9","20493","","","","","","","","<","","","0";
"711406","51","10","15811","","1","","","","7","","0533","","","0";
"711406","51","11","15777","","1","","","","8","","0535","","","0";
"711406","51","12","8266","","1","","","","12","","0539","","","0";
"711406","51","13","15717","","1","","","","15","","0542","","","0";
"711406","51","14","17371","","","","","","15","","|","","","0";
"711406","51","15","15603","","1","","","","19","","0548","","","0";
"711406","51","16","17310","","1","","","","21","","0550","","","0";
"711406","51","17","7999","","1","","","","25","0552","0554","","","0";
"711406","51","18","16220","","1","","","","25","","0556","","","0";
"711406","51","19","17056","","","","","","28","","|","","","0";
"711406","51","20","15716","","1","","","","29","","0600","","","0";
"711406","51","21","17197","","","","","","30","","|","","","0";
"711406","51","22","9049","","1","","","","31","","0604","","","0";
"711406","51","23","7860","","1","","","","35","","0611","","","0";
"711406","51","24","15586","","1","","","","37","","0614","","","0";
"711406","51","25","1339","","1","","","","39","","0617","","","0";
"711406","51","26","20364","","","","","","41","","|","","","0";
"711406","51","27","1340","","","","","","42","","|","","","0";
"711406","51","28","8152","","1","","","","44","","0624","","","0";
"711406","51","29","15875","","1","","","","49","","0629","","","0";
"711406","51","30","15874","","1","","","","55","","0631","","","0";
"711406","51","31","16565","","1","","","","55","","0634","","","0";
"711406","51","32","8496","","1","","","","55","0637","0640","","","0";
"711406","51","33","16814","","","","","","","","<","","","0";
"711406","51","34","16816","","","","","","","","<","","","0";
"711406","51","35","16819","","","","","","","","<","","","0";
"711406","51","36","16820","","","","","","","","<","","","0";
"711406","51","37","16822","","","","","","","","<","","","0";
"711406","51","38","20003","","","","","","","","<","","","0";
"711406","51","39","16810","","","","","","86","","|","","","0";
"711406","51","40","8195","","1","","","","89","0715","","","","0";
"711406","5","1","8709","","1","","","","0","","0550","","","0";
"711406","5","2","15974","","1","","","","0","","0551","","","0";
"711406","5","3","15973","","1","","","","2","","0553","","","0";
"711406","5","4","16165","","1","","","","4","","0554","","","0";
"711406","5","5","15574","","1","","","","4","","0557","","","0";
"711406","5","6","15811","","1","","","","7","","0601","","","0";
"711406","5","7","20493","","","","","","","","<","","","0";
"711406","5","8","17923","","","","","","","","<","","","0";
"711406","5","9","20493","","","","","","","","<","","","0";
"711406","5","10","15811","","1","","","","7","","0601","","","0";
"711406","5","11","15777","","1","","","","8","","0604","","","0";
"711406","5","12","8266","","1","","","","12","","0608","","","0";
"711406","5","13","15717","","1","","","","15","","0610","","","0";
"711406","5","14","17371","","1","","","","15","","0611","","","0";
"711406","5","15","15603","","1","","","","19","","0615","","","0";
"711406","5","16","17310","","1","","","","21","","0619","","","0";
"711406","5","17","7999","","1","","","","25","0620","0625","","","0";
"711406","5","18","16220","","1","","","","25","","0627","","","0";
"711406","5","19","17056","","1","","","","28","","0628","","","0";
"711406","5","20","15716","","1","","","","29","","0630","","","0";
"711406","5","21","17197","","1","","","","30","","0633","","","0";
"711406","5","22","9049","","1","","","","31","","0635","","","0";
"711406","5","23","7860","","1","","","","35","","0641","","","0";
"711406","5","24","15586","","1","","","","37","","0643","","","0";
"711406","5","25","1339","","1","","","","39","","0646","","","0";
"711406","5","26","20364","","","","","","41","","|","","","0";
"711406","5","27","1340","","1","","","","42","","0650","","","0";
"711406","5","28","8152","","1","","","","44","","0654","","","0";
"711406","5","29","15875","","1","","","","49","","0657","","","0";
"711406","5","30","15874","","1","","","","55","","0705","","","0";
