"802401","1","","8195","","","","","0";
"802401","2","","21252","","","","","0";
"802401","3","","8198","","","","","0";
"802401","4","","18028","","","","","0";
"802401","5","","19989","","","","","0";
"802401","6","","18029","","20","","","0";
"802401","7","","1847","","","","","0";
"802401","8","","18031","","20","","","0";
"802401","9","","8819","","","","","0";
"802401","10","","8814","","","","","0";
"802401","11","","16192","","","","","0";
"802401","12","","8708","","","","","0";
"802401","13","","1375","","","","","0";
"802401","14","","8707","","20","","","0";
"802401","15","","16332","","","","","0";
"802401","16","","8641","","","","","0";
"802401","17","","16330","","","","","0";
"802401","18","","17965","","20","","","0";
"802401","19","","8074","","","","","0";
"802401","20","","22783","","","","","0";
"802401","21","","16238","","","","","0";
"802401","22","","16348","","","","","0";
"802401","23","","1846","","","","","0";
"802401","24","","16312","","","","","0";
"802401","25","","20429","","","","","0";
"802401","26","","16280","","","","","0";
"802401","27","","15769","","","","","0";
"802401","28","","22376","","","","","0";
"802401","29","","23030","","23","","","0";
"802401","30","","23017","","","","","0";
"802401","31","","18231","","","","","0";
"802401","32","","18230","","","","","0";
"802401","33","","18922","","","","","0";
"802401","34","","19056","","","","","0";
"802401","35","","855","","","","","0";
"802401","36","","18923","","20","","","0";
"802401","37","","856","","","","","0";
"802401","38","","16119","","","","","0";
"802401","39","","15602","","","","","0";
"802401","40","","858","","","","","0";
"802401","41","","15812","","","","","0";
"802401","42","","844","","","","","0";
"802401","43","","15946","","","","","0";
"802401","44","","859","","","","","0";
"802401","45","","18924","","20","","","0";
"802401","46","","18925","","","","","0";
"802401","47","","18926","","20","","","0";
"802401","48","","18927","","","","","0";
"802401","49","","18928","","20","","","0";
"802401","50","","16067","","","","","0";
