"M","802422","24","13","802450","","","","","","","0";
"M","802422","24","13","802450","","","","","","","0";
"M","802427","7","28","802427","","","","-83","","","0";
"M","802427","13","28","802427","","","","-81","","","0";
"M","802427","17","28","802427","","","","-19","","","0";
"M","802427","15","28","802427","","","","-21","","","0";
"M","802427","23","28","802427","","","","-27","","","0";
"M","802427","29","28","802427","","","","-31","","","0";
"M","802427","65","41","810430","","","","-82","","","0";
"M","802427","67","41","810430","","","","-84","","","0";
"M","802427","69","28","802427","","","","-95","","","0";
"M","802427","71","28","802427","","","","-97","","","0";
"M","802427","73","28","802427","","","","-99","","","0";
"M","802427","77","28","802427","","","","-79","","","0";
"M","802427","95","41","810430","","","","-52","","","0";
"M","802427","97","41","810430","","","","-54","","","0";
"M","802427","99","41","810430","","","","-56","","","0";
"M","802427","105","28","802427","","","","-107","","","0";
"M","802427","107","41","810430","","","","-68","","","0";
"M","802427","109","28","802427","","","","-111","","","0";
"M","802427","111","41","810430","","","","-70","","","0";
"M","802427","115","28","802427","","","","-113","","","0";
"M","802427","52","28","802427","","","","-70","","","0";
"M","802427","6","28","802427","","","","-4","","","0";
"M","802427","22","28","802427","","","","-28","","","0";
"M","802427","26","28","802427","","","","-30","","","0";
"M","802427","32","28","802427","","","","-34","","","0";
"M","802427","54","28","802427","","","","-84","","","0";
"M","802427","58","28","802427","","","","-88","","","0";
"M","802427","56","28","802427","","","","-86","","","0";
"M","802427","62","28","802427","","","","-92","","","0";
"M","802427","64","28","802427","","","","-94","","","0";
"M","802427","72","28","802427","","","","-18","","","0";
"M","802427","76","28","802427","","","","-74","","","0";
"M","802427","98","28","802427","","","","-96","","","0";
"M","802427","100","28","802427","","","","-102","","","0";
"M","802428","23","21","802428","","","","-3","","","0";
"M","802428","7","21","802428","","","","-25","","","0";
"M","802428","1","14","802427","","","","-5","","","0";
"M","802428","21","39","802428","","","","-36","","","0";
"M","802450","97","27","802450","","","","-51","","","0";
"M","802450","90","51","802418","","","","-7","","","0";
"M","802450","94","51","802402","","","","-4","","","0";
"M","802450","96","51","802402","","","","-14","","","0";
"M","802450","98","51","802402","","","","-2","","","0";
"M","802450","56","68","802450","","","","-84","","","0";
"M","802450","58","68","802450","","","","-86","","","0";
"M","802450","92","51","802418","","","","-15","","","0";
"M","802450","100","51","802402","","","","-6","","","0";
"M","802450","102","51","802402","","","","-8","","","0";
"M","802450","104","51","802402","","","","-12","","","0";
"m","802450","39","8","802422","","","","","","","0";
"m","802450","131","8","802422","","","","","","","0";
"M","802452","55","29","802452","","","","-47","","","0";
"M","802452","14","78","802452","","","","-10","","","0";
"M","802453","27","18","802453","","","","-13","","","0";
"M","802453","14","18","802453","","","","-16","","","0";
"M","802453","18","42","802453","","","","-21","","","0";
"M","802453","26","18","802453","","","","-2","","","0";
"M","802454","53","23","802454","","","","-13","","","0";
"M","802454","59","23","802454","","","","-41","","","0";
"M","802454","60","23","802460","","","","-35","","","0";
"M","802454","38","23","802460","","","","-35","","","0";
"M","802454","54","23","802454","","","","-52","","","0";
"M","808405","1","25","808417","","","","-1","","","0";
"M","808405","29","25","808417","","","","-29","","","0";
"M","808405","41","59","802433","","","","-13","","","0";
"M","808405","49","59","802433","","","","-15","","","0";
"M","808405","57","59","802434","","","","-29","","","0";
"M","808405","111","46","808405","","","","-113","","","0";
"M","808405","2","1","810433","","","","-10","","","0";
"M","808405","38","1","810433","","","","-18","","","0";
"M","808405","48","1","808403","","","","-13","","","0";
"M","808405","26","25","808405","","","","-44","","","0";
"M","808405","60","25","808405","","","","-116","","","0";
"M","808405","72","5","808402","","","","-7","","","0";
"M","808405","90","12","808401","","","","-25","","","0";
"M","808405","98","11","808406","","","","-37","","","0";
"M","808405","102","25","808405","","","","-42","","","0";
"M","808405","104","25","808405","","","","-108","","","0";
"M","808405","86","12","808401","","","","-35","","","0";
"M","808405","114","1","810433","","","","-12","","","0";
"M","808405","118","46","808405","","","","-120","","","0";
"m","808405","3","2","808403","","","","","","","0";
"m","808405","3","11","808406","","","","","","","0";
"m","808405","23","2","808403","","","","","","","0";
"m","808405","33","5","808402","","","","","","","0";
"m","808405","45","5","808402","","","","","","","0";
"m","808405","69","5","808402","","","","","","","0";
"M","808405","12","5","808402","","","","","","","0";
"M","808405","38","5","808402","","","","","","","0";
"m","808405","38","3","808402","","","","","","","0";
"m","808405","38","2","808402","","","","","","","0";
"M","808405","28","5","808402","","","","","","","0";
"M","808405","54","11","808406","","","","","","","0";
"M","808405","54","5","808402","","","","","","","0";
"m","808405","60","32","808433","","","","","","","0";
"m","808405","60","31","808433","","","","","","","0";
"m","808405","94","21","808445","","","","","","","0";
"m","808405","112","25","808405","","","","","","","0";
